id,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
85,30,Travel_Rarely,1313,Research & Development,9,2,Life Sciences,1,4,Female,92,3,1,Research Scientist,4,Divorced,2585,7160,1,Y,No,15,3,3,80,2,1,3,3,1,0,0,0,0
86,46,Travel_Rarely,1275,Sales,15,3,Marketing,1,3,Male,48,3,2,Sales Executive,3,Single,6384,21143,8,Y,No,14,3,4,80,0,9,3,3,3,2,0,2,0
87,43,Travel_Rarely,653,Research & Development,18,3,Life Sciences,1,3,Female,86,3,2,Laboratory Technician,3,Married,5253,4605,8,Y,Yes,14,3,1,80,1,10,3,3,8,1,7,7,0
88,49,Travel_Rarely,1219,Research & Development,1,3,Life Sciences,1,2,Male,96,3,2,Manufacturing Director,3,Divorced,4171,4223,2,Y,No,15,3,3,80,1,19,3,3,3,2,1,2,0
89,24,Travel_Rarely,1336,Research & Development,23,1,Life Sciences,1,3,Male,50,3,1,Research Scientist,4,Single,2693,8269,9,Y,Yes,12,3,2,80,0,6,0,1,5,2,1,4,1
90,27,Travel_Rarely,959,Sales,2,2,Life Sciences,1,4,Male,89,3,1,Sales Representative,3,Married,1232,26999,1,Y,No,19,3,3,80,0,0,3,2,0,0,0,0,1
91,29,Travel_Rarely,144,Research & Development,20,4,Life Sciences,1,3,Female,90,3,1,Research Scientist,3,Married,3944,12828,1,Y,No,11,3,4,80,1,5,2,2,5,3,0,2,0
92,47,Travel_Rarely,1137,Research & Development,8,4,Life Sciences,1,4,Male,60,3,5,Research Director,2,Divorced,19202,20431,2,Y,No,11,3,2,80,1,21,4,3,4,0,0,2,0
93,42,Travel_Rarely,1063,Research & Development,23,4,Life Sciences,1,4,Male,79,2,4,Manager,2,Divorced,16064,3140,2,Y,Yes,13,3,3,80,1,22,2,3,10,9,2,4,0
94,43,Travel_Rarely,1403,Research & Development,4,3,Life Sciences,1,4,Male,66,4,1,Laboratory Technician,2,Married,1569,16379,5,Y,No,14,3,1,80,1,7,4,3,1,0,0,0,0
95,27,Travel_Rarely,942,Research & Development,6,4,Medical,1,3,Male,82,2,1,Research Scientist,3,Divorced,2514,11012,1,Y,No,12,3,2,80,3,5,3,2,5,4,0,3,0
96,53,Travel_Rarely,723,Sales,24,3,Marketing,1,1,Female,66,2,4,Manager,4,Divorced,17856,20338,1,Y,No,11,3,1,80,1,31,3,3,31,9,15,7,0
97,46,Travel_Rarely,571,Research & Development,23,4,Medical,1,3,Male,48,3,2,Healthcare Representative,3,Married,6540,15232,2,Y,No,11,3,3,80,1,11,3,3,5,4,0,3,0
98,32,Travel_Rarely,442,Sales,17,3,Medical,1,4,Male,79,3,3,Sales Executive,3,Married,10673,26250,0,Y,No,22,4,2,80,0,14,3,3,13,8,8,9,0
99,36,Travel_Rarely,1495,Research & Development,1,3,Medical,1,4,Male,43,2,2,Manufacturing Director,2,Single,5163,23177,6,Y,Yes,16,3,4,80,0,17,2,2,5,4,0,4,0
100,26,Travel_Rarely,959,Human Resources,2,3,Life Sciences,1,2,Male,59,2,1,Human Resources,1,Single,2942,16225,1,Y,Yes,13,3,3,80,0,5,2,3,5,4,1,1,1
101,28,Travel_Rarely,1303,Research & Development,2,4,Medical,1,3,Male,30,4,2,Laboratory Technician,3,Divorced,4301,9150,1,Y,No,16,3,1,80,1,5,1,3,5,2,3,0,0
102,34,Travel_Rarely,1450,Research & Development,1,4,Technical Degree,1,4,Male,43,2,1,Research Scientist,4,Single,2132,22021,0,Y,No,15,3,4,80,0,6,2,3,5,3,1,3,0
103,23,Travel_Frequently,857,Research & Development,1,1,Life Sciences,1,1,Male,61,2,2,Manufacturing Director,4,Married,6146,26236,1,Y,No,12,3,4,80,2,8,2,2,8,7,3,7,0
104,31,Travel_Rarely,807,Sales,7,3,Marketing,1,1,Male,71,3,3,Sales Executive,3,Married,9278,2354,7,Y,No,23,4,2,80,1,10,3,3,2,2,2,2,1
105,47,Travel_Rarely,682,Research & Development,1,4,Life Sciences,1,3,Male,84,2,1,Research Scientist,3,Married,2782,5602,0,Y,Yes,14,3,1,80,1,6,3,2,5,3,1,2,0
106,33,Travel_Rarely,790,Research & Development,9,4,Life Sciences,1,4,Male,51,4,3,Manager,3,Married,2013,2125,1,Y,Yes,12,3,4,80,2,15,3,3,15,11,5,8,0
107,37,Travel_Rarely,1332,Research & Development,11,2,Other,1,1,Male,50,4,2,Manufacturing Director,2,Married,5906,9490,3,Y,Yes,11,3,4,80,2,6,2,3,3,2,0,0,1
108,31,Travel_Frequently,672,Research & Development,6,4,Medical,1,1,Male,86,1,1,Research Scientist,3,Married,2519,6161,0,Y,Yes,16,3,1,80,0,4,3,3,3,2,1,2,1
109,41,Travel_Rarely,1168,Sales,2,2,Life Sciences,1,4,Male,42,4,4,Manager,2,Divorced,16659,16225,4,Y,Yes,14,3,4,80,1,22,3,3,1,0,0,0,0
110,33,Travel_Rarely,1450,Sales,12,3,Life Sciences,1,1,Female,92,2,2,Sales Executive,1,Single,1569,25440,2,Y,Yes,22,4,1,80,0,16,2,1,0,0,0,0,1
111,37,Travel_Rarely,598,Research & Development,2,3,Medical,1,4,Male,40,3,1,Laboratory Technician,2,Married,3072,20460,5,Y,No,13,3,2,80,1,8,6,3,1,0,0,0,0
112,37,Travel_Rarely,1142,Research & Development,9,1,Other,1,4,Female,46,3,3,Manufacturing Director,4,Single,10502,4658,2,Y,No,12,3,1,80,0,15,2,3,7,1,0,7,0
113,29,Travel_Rarely,920,Sales,29,2,Life Sciences,1,4,Male,43,2,2,Sales Executive,2,Divorced,5813,22149,1,Y,Yes,24,4,1,80,1,10,5,3,10,8,1,8,0
114,48,Travel_Rarely,691,Research & Development,8,2,Medical,1,4,Female,40,3,2,Laboratory Technician,3,Single,3838,22021,4,Y,No,15,3,1,80,0,17,2,3,3,2,0,2,0
115,27,Travel_Rarely,882,Research & Development,17,3,Medical,1,2,Male,87,2,2,Healthcare Representative,2,Married,5228,5033,0,Y,No,14,3,4,80,1,14,0,3,13,9,4,9,0
116,25,Travel_Rarely,895,Research & Development,23,2,Life Sciences,1,2,Male,95,3,1,Laboratory Technician,1,Married,3491,12106,1,Y,No,13,3,4,80,1,3,2,3,3,2,1,1,0
117,45,Travel_Rarely,464,Research & Development,16,3,Medical,1,2,Male,50,3,4,Manager,3,Married,17046,12392,6,Y,No,16,3,4,80,0,22,2,3,1,0,0,0,0
118,59,Travel_Rarely,884,Research & Development,9,3,Life Sciences,1,3,Female,54,3,5,Research Director,3,Single,18041,17519,6,Y,No,11,3,3,80,0,27,2,3,3,2,1,2,0
119,33,Travel_Rarely,658,Research & Development,12,3,Life Sciences,1,3,Male,87,2,3,Healthcare Representative,4,Single,7412,23474,3,Y,No,11,3,3,80,0,15,0,3,12,11,4,8,0
120,34,Travel_Rarely,954,Sales,14,4,Marketing,1,1,Male,95,3,2,Sales Executive,4,Married,5324,14255,9,Y,No,12,3,3,80,0,6,3,3,2,2,2,2,0
121,22,Travel_Rarely,715,Research & Development,5,3,Medical,1,4,Male,95,2,1,Research Scientist,3,Married,2394,25751,1,Y,Yes,13,3,4,80,2,4,2,3,4,2,0,2,0
122,45,Travel_Rarely,853,Research & Development,6,2,Technical Degree,1,1,Female,91,3,3,Healthcare Representative,2,Married,10169,18611,0,Y,No,13,3,2,80,1,24,3,2,24,9,3,11,0
123,49,Travel_Rarely,1136,Research & Development,2,3,Life Sciences,1,3,Female,82,3,2,Research Scientist,4,Divorced,6434,11677,2,Y,No,14,3,3,80,1,17,3,3,7,7,1,7,0
124,34,Travel_Frequently,1283,Sales,7,3,Life Sciences,1,2,Male,44,4,2,Sales Executive,2,Divorced,6377,6865,2,Y,Yes,14,3,3,80,2,14,3,1,10,8,5,6,0
125,35,Travel_Rarely,1495,Sales,8,2,Technical Degree,1,4,Female,82,3,3,Sales Executive,4,Divorced,9713,22553,1,Y,No,11,3,3,80,2,10,6,3,10,9,9,8,0
126,27,Travel_Rarely,1448,Research & Development,1,4,Medical,1,4,Male,46,4,2,Healthcare Representative,3,Married,6883,19271,1,Y,Yes,14,3,2,80,1,7,0,3,7,7,1,7,0
127,41,Travel_Rarely,804,Sales,2,3,Medical,1,3,Female,74,3,2,Sales Executive,3,Single,8726,23474,4,Y,Yes,13,3,2,80,0,10,3,3,4,3,0,3,1
128,23,Travel_Rarely,546,Sales,4,1,Life Sciences,1,1,Male,100,3,1,Sales Representative,4,Single,2500,18767,3,Y,Yes,13,3,3,80,0,3,3,3,1,0,1,0,1
129,40,Non-Travel,775,Research & Development,6,4,Medical,1,2,Female,63,3,2,Healthcare Representative,1,Married,6755,23293,3,Y,No,15,3,4,80,1,12,5,2,5,4,1,2,0
130,46,Travel_Rarely,1319,Research & Development,1,3,Medical,1,1,Male,68,1,5,Research Director,1,Divorced,18711,13934,7,Y,No,11,3,2,80,3,27,2,1,24,7,13,13,0
131,32,Travel_Rarely,1146,Sales,26,4,Life Sciences,1,4,Male,32,3,3,Sales Executive,4,Married,8998,22162,1,Y,No,22,4,4,80,1,9,3,3,9,8,8,7,0
132,38,Travel_Rarely,359,Sales,8,4,Life Sciences,1,1,Male,82,3,1,Sales Representative,3,Divorced,2835,20990,6,Y,No,17,3,3,80,2,7,3,2,2,2,2,0,0
133,41,Travel_Rarely,1206,Sales,5,2,Life Sciences,1,2,Male,83,3,3,Manager,1,Single,11836,23683,6,Y,No,17,3,4,80,0,12,2,4,6,5,0,3,0
134,38,Travel_Rarely,383,Sales,29,4,Medical,1,3,Female,72,3,2,Sales Executive,3,Single,6652,14369,9,Y,Yes,12,3,1,80,0,8,4,3,5,3,0,4,0
135,45,Travel_Rarely,821,Research & Development,9,1,Medical,1,3,Female,64,2,1,Laboratory Technician,4,Single,2176,8509,9,Y,No,13,3,4,80,0,10,5,3,5,3,0,4,0
136,51,Travel_Rarely,1323,Research & Development,7,4,Life Sciences,1,2,Male,73,3,3,Research Director,3,Married,13582,17381,1,Y,No,20,4,2,80,1,16,2,1,16,13,2,11,0
137,31,Travel_Rarely,543,Sales,15,4,Life Sciences,1,2,Male,42,2,2,Sales Executive,3,Single,5151,22021,1,Y,Yes,14,3,1,80,0,10,3,3,10,4,4,8,1
138,38,Travel_Rarely,1288,Research & Development,2,4,Medical,1,3,Male,76,4,4,Healthcare Representative,1,Divorced,13964,16053,3,Y,No,14,3,3,80,2,30,2,3,3,2,0,2,0
139,25,Travel_Rarely,1479,Sales,4,2,Life Sciences,1,4,Male,61,2,2,Sales Executive,4,Married,7847,13982,1,Y,No,11,3,1,80,1,7,3,3,7,7,0,7,0
